Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
1000MERCIS;FR0010285965;ALMIL;"Euronext Growth Paris";EUR;22.40;22.40;22.40;22.40;"07/01/22 15:11";CET;5;112.00
"2020 BULKERS";BMG9156K1018;2020;"Oslo B�rs";NOK;116.00;117.00;114.50;115.50;"07/01/22 16:25";CET;113866;13185546.00
2CRSI;FR0013341781;2CRSI;"Euronext Paris";EUR;4.94;4.94;4.88;4.92;"07/01/22 17:35";CET;3296;16176.965
"2MX ORGANIC";FR0014000T90;2MX;"Euronext Paris";EUR;9.80;9.80;9.80;9.80;"07/01/22 17:06";CET;10608;103958.40
"2MX ORGANIC BS";FR0014000TB2;2MXBS;"Euronext Paris";EUR;0.18;0.18;0.18;0.18;"16/12/21 17:04";CET;58571;10542.78
"5TH PLANET GAMES";DK0060945467;5PG;"Euronext Expand Oslo";NOK;1.348;1.43;1.232;1.248;"07/01/22 16:28";CET;11329361;14866041.862
"A TOUTE VITESSE";FR0010050773;MLATV;"Euronext Access Paris";EUR;1.48;1.48;1.35;1.35;"13/11/19 16:53";CET;378;521.87
"A.S.T. GROUPE";FR0000076887;ASP;"Euronext Paris";EUR;5.14;5.14;4.77;4.94;"07/01/22 17:25";CET;5328;26173.43
"AALBERTS NV";NL0000852564;AALB;"Euronext Amsterdam";EUR;58.38;58.56;57.76;57.96;"07/01/22 17:35";CET;139684;8122087.32
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;143.00;143.00;143.00;143.00;"07/01/22 14:58";CET;4;572.00
"AB INBEV";BE0974293251;ABI;"Euronext Brussels";EUR;54.96;55.48;54.45;55.48;"07/01/22 17:36";CET;1344717;74247452.58
"AB SCIENCE";FR0010557264;AB;"Euronext Paris";EUR;12.36;12.36;12.23;12.30;"07/01/22 17:35";CET;21331;261987.48
ABATTOIR;BE0946377455;-;"Euronext Expert Market";EUR;47.70;47.70;47.70;47.70;"24/01/17 11:30";CET;500;23850.00
"ABC ARBITRAGE";FR0004040608;ABCA;"Euronext Paris";EUR;7.20;7.23;7.20;7.21;"07/01/22 17:35";CET;15201;109647.83
ABEO;FR0013185857;ABEO;"Euronext Paris";EUR;16.80;16.95;16.70;16.95;"07/01/22 17:29";CET;2018;33844.20
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo B�rs";NOK;9.19;9.24;9.11;9.20;"07/01/22 16:25";CET;6743236;61552725.95
"ABIONYX PHARMA";FR0012616852;ABNX;"Euronext Paris";EUR;2.845;2.97;2.77;2.93;"07/01/22 17:35";CET;331448;952956.88
ABIVAX;FR0012333284;ABVX;"Euronext Paris";EUR;28.20;28.55;27.65;27.70;"07/01/22 17:35";CET;15499;435116.50
"ABN AMRO BANK N.V.";NL0011540547;ABN;"Euronext Amsterdam";EUR;14.22;14.22;13.934;14.10;"07/01/22 17:35";CET;3078482;43309763.754
"ABO GROUP";BE0974278104;ABO;"Euronext Brussels, Paris";EUR;5.05;5.05;4.96;4.96;"07/01/22 09:57";CET;354;1787.34
"ACACIA PHARMA";GB00BYWF9Y76;ACPH;"Euronext Brussels";EUR;1.59;1.59;1.44;1.48;"07/01/22 17:35";CET;206597;310453.076
"ACANTHE DEV.";FR0000064602;ACAN;"Euronext Paris";EUR;0.506;0.506;0.50;0.50;"07/01/22 16:27";CET;16254;8149.902
"ACCELL GROUP";NL0009767532;ACCEL;"Euronext Amsterdam";EUR;47.40;47.60;46.80;47.00;"07/01/22 17:37";CET;44508;2098233.70
ACCENTIS;BE0003696102;ACCB;"Euronext Brussels";EUR;0.0645;0.066;0.0635;0.0635;"07/01/22 17:35";CET;1115124;72470.248
ACCOR;FR0000120404;AC;"Euronext Paris";EUR;30.78;30.84;30.18;30.61;"07/01/22 17:35";CET;506225;15464477.26
"ACCOR AC SHARES";FR0014003PZ3;AAC;"Euronext Paris";EUR;9.601;9.839;9.601;9.836;"03/01/22 13:10";CET;46;448.98
"ACCOR AC WARRANTS";FR0014003QK3;AACW;"Euronext Paris";EUR;0.40;0.40;0.40;0.40;"25/11/21 10:02";CET;4238;1695.20
ACCSYS;GB00BQQFX454;AXS;"Euronext Amsterdam";EUR;2.05;2.065;2.02;2.03;"07/01/22 17:35";CET;380140;773822.865
ACHETER-LOUER.FR;FR0010493510;ALALO;"Euronext Growth Paris";EUR;0.0012;0.0012;0.001;0.0012;"07/01/22 17:29";CET;165639271;187090.769
"ACKERMANS V.HAAREN";BE0003764785;ACKB;"Euronext Brussels";EUR;172.20;173.00;169.60;172.80;"07/01/22 17:35";CET;52591;9001178.70
ACTEOS;FR0000076861;EOS;"Euronext Paris";EUR;1.97;1.97;1.895;1.97;"07/01/22 14:23";CET;2698;5191.885
"ACTIA GROUP";FR0000076655;ATI;"Euronext Paris";EUR;3.65;3.71;3.47;3.55;"07/01/22 17:35";CET;13174;47541.48
"ACTICOR BIOTECH";FR0014005OJ5;ALACT;"Euronext Growth Paris";EUR;4.701;4.80;4.70;4.70;"07/01/22 13:54";CET;1443;6846.107
