year|earnings_measure|amount|stock_isin
2018|Revenue|0.0|BMG9156K1018
2019|Revenue|9100000.0|BMG9156K1018
2020|Revenue|48900000.0|BMG9156K1018
2021|Revenue|113800000.0|BMG9156K1018
2018|Earnings|-800000.0|BMG9156K1018
2019|Earnings|-400000.0|BMG9156K1018
2020|Earnings|11100000.0|BMG9156K1018
2021|Earnings|70800000.0|BMG9156K1018
2017|Revenue|30558000.0|FR0013341781
2018|Revenue|65177000.0|FR0013341781
2020|Revenue|65976011.0|FR0013341781
2021|Revenue|163339000.0|FR0013341781
2017|Earnings|643000.0|FR0013341781
2018|Earnings|3705000.0|FR0013341781
2020|Earnings|-5472001.0|FR0013341781
2021|Earnings|-4188000.0|FR0013341781
2017|Revenue|61694000.0|FR0010285965
2018|Revenue|70517000.0|FR0010285965
2019|Revenue|72207000.0|FR0010285965
2020|Revenue|60039000.0|FR0010285965
2017|Earnings|5280000.0|FR0010285965
2018|Earnings|4239000.0|FR0010285965
2019|Earnings|2502000.0|FR0010285965
2020|Earnings|-6796000.0|FR0010285965
2017|Revenue|3618000.0|DK0060945467
2018|Revenue|3855000.0|DK0060945467
2019|Revenue|2180000.0|DK0060945467
2020|Revenue|3919000.0|DK0060945467
2017|Earnings|-23489000.0|DK0060945467
2018|Earnings|-43544000.0|DK0060945467
2019|Earnings|-32223000.0|DK0060945467
2020|Earnings|-14249000.0|DK0060945467
2017|Revenue|174021000.0|FR0000076887
2018|Revenue|225350000.0|FR0000076887
2019|Revenue|201378000.0|FR0000076887
2020|Revenue|175828000.0|FR0000076887
2017|Earnings|8860000.0|FR0000076887
2018|Earnings|8020000.0|FR0000076887
2019|Earnings|2627000.0|FR0000076887
2020|Earnings|5443000.0|FR0000076887
2017|Revenue|2694000000.0|NL0000852564
2018|Revenue|2758900000.0|NL0000852564
2019|Revenue|2841300000.0|NL0000852564
2020|Revenue|2610400000.0|NL0000852564
2017|Earnings|204500000.0|NL0000852564
2018|Earnings|238200000.0|NL0000852564
2019|Earnings|225700000.0|NL0000852564
2020|Earnings|117300000.0|NL0000852564
2017|Revenue|56444000000.0|BE0974293251
2018|Revenue|53041000000.0|BE0974293251
2019|Revenue|52329000000.0|BE0974293251
2020|Revenue|46881000000.0|BE0974293251
2017|Earnings|7996000000.0|BE0974293251
2018|Earnings|4370000000.0|BE0974293251
