stock_name|stock_isin|stock_euronext_symbol|stock_exchange_markets|stock_trading_currency|main_city|yahoo_city_code|yahoo_code
1000MERCIS|FR0010285965|ALMIL|Euronext Growth Paris|EUR|Paris|PA|ALMIL.PA
2020 BULKERS|BMG9156K1018|2020|Oslo Børs|NOK|Oslo|OL|2020.OL
2CRSI|FR0013341781|2CRSI|Euronext Paris|EUR|Paris|PA|2CRSI.PA
2MX ORGANIC|FR0014000T90|2MX|Euronext Paris|EUR|Paris|PA|2MX.PA
2MX ORGANIC BS|FR0014000TB2|2MXBS|Euronext Paris|EUR|Paris|PA|2MXBS.PA
5TH PLANET GAMES|DK0060945467|5PG|Euronext Expand Oslo|NOK|Oslo|OL|5PG.OL
A TOUTE VITESSE|FR0010050773|MLATV|Euronext Access Paris|EUR|Paris|PA|MLATV.PA
A.S.T. GROUPE|FR0000076887|ASP|Euronext Paris|EUR|Paris|PA|ASP.PA
AALBERTS NV|NL0000852564|AALB|Euronext Amsterdam|EUR|Amsterdam|AS|AALB.AS
AASEN SPAREBANK|NO0010672181|AASB|Euronext Growth Oslo|NOK|Oslo|OL|AASB.OL
AB INBEV|BE0974293251|ABI|Euronext Brussels|EUR|Brussels|BR|ABI.BR
AB SCIENCE|FR0010557264|AB|Euronext Paris|EUR|Paris|PA|AB.PA
ABATTOIR|BE0946377455|-|Euronext Expert Market|EUR|No city mentioned||
ABC ARBITRAGE|FR0004040608|ABCA|Euronext Paris|EUR|Paris|PA|ABCA.PA
ABEO|FR0013185857|ABEO|Euronext Paris|EUR|Paris|PA|ABEO.PA
ABG SUNDAL COLLIER|NO0003021909|ABG|Oslo Børs|NOK|Oslo|OL|ABG.OL
ABIONYX PHARMA|FR0012616852|ABNX|Euronext Paris|EUR|Paris|PA|ABNX.PA
ABIVAX|FR0012333284|ABVX|Euronext Paris|EUR|Paris|PA|ABVX.PA
ABN AMRO BANK N.V.|NL0011540547|ABN|Euronext Amsterdam|EUR|Amsterdam|AS|ABN.AS
ABO GROUP|BE0974278104|ABO|Euronext Brussels, Paris|EUR|Brussels|BR|ABO.BR
ACACIA PHARMA|GB00BYWF9Y76|ACPH|Euronext Brussels|EUR|Brussels|BR|ACPH.BR
ACANTHE DEV.|FR0000064602|ACAN|Euronext Paris|EUR|Paris|PA|ACAN.PA
ACCELL GROUP|NL0009767532|ACCEL|Euronext Amsterdam|EUR|Amsterdam|AS|ACCEL.AS
ACCENTIS|BE0003696102|ACCB|Euronext Brussels|EUR|Brussels|BR|ACCB.BR
