stock_isin|yahoo_sector|yahoo_industry|yahoo_full_time_employees|yahoo_shares_outstanding
BMG9156K1018|Industrials|Marine Shipping||22220900
FR0014000T90|Financial Services|Shell Companies||37500000
FR0013341781|Technology|Computer Hardware|389|14225000
FR0010285965|Communication Services|Advertising Agencies|386|2240030
DK0060945467|Communication Services|Electronic Gaming & Multimedia|20|127996000
FR0000076887|Consumer Cyclical|Residential Construction|599|12893600
NL0000852564|Industrials|Specialty Industrial Machinery|14782|110580000
BE0974293251|Consumer Defensive|Beverages—Brewers|164000|1737180032
FR0010557264|Healthcare|Drug Manufacturers—Specialty & Generic|96|46543300
NO0010672181|Financial Services|Banks—Regional|31|1013910
FR0004040608|Financial Services|Asset Management|85|59268200
NO0003021909|Financial Services|Capital Markets|320|450004000
FR0013185857|Consumer Cyclical|Leisure|1344|7488730
NL0011540547|Financial Services|Banks—Diversified|19957|935892992
FR0012616852|Healthcare|Biotechnology|3|27672100
FR0012333284|Healthcare|Biotechnology|29|16755300
BE0974278104|Industrials|Waste Management|393|10568700
GB00BYWF9Y76|Healthcare|Biotechnology|72|100859000
NL0009767532|Consumer Cyclical|Leisure|3100|26836600
FR0000064602|Real Estate|REIT—Office|17|147124992
BE0003696102|Financial|Property Management|38|1262850048
FR0000120404|Consumer Cyclical|Lodging|15247|261856000
FR0014003PZ3|Financial Services|Shell Companies||
GB00BQQFX454|Basic Materials|Lumber & Wood Production|241|192760992
FR0010493510|Communication Services|Advertising Agencies|17|101564000
BE0003764785|Industrials|Engineering & Construction|22331|33152200
FR0000076861|Technology|Software—Application|91|3335960
FR0000076655|Consumer Cyclical|Auto Parts|3605|20084100
FR0014005OJ5|Healthcare|Biotechnology|21|10490700
FR0010979377|Technology|Computer Hardware||4438920
FR0000053076|Industrials|Rental & Leasing Services|88|2922630
BE0974269012|Real Estate|REIT—Residential|2|134780000
NO0010844038|Communication Services|Internet Content & Information|3826|1164989952
FR0013284627|Technology|Communication Equipment|33|2261980
FR0011184241|Healthcare|Biotechnology|127|7283870
FR0013247244|Real Estate|Real Estate Services|18|40906700
FR0010340141|Industrials|Airports & Air Services||98946400
FR0012821890|Communication Services|Advertising Agencies|59|6238200
CY0108052115|Industrials|Marine Shipping||23390300
FR0004152874|Financial Services|Capital Markets|267|12464500
FR0013296746|Healthcare|Biotechnology|32|9924490
NL0012969182|Technology|Software—Infrastructure||30957100
FR0000053043|Consumer Defensive|Beverages—Wineries & Distilleries|765|3835190
BE0003851681|Real Estate|REIT—Healthcare Facilities|105|36071100
NO0010626559|Utilities|Utilities—Renewable|2|66375900
NL0000303709|Financial Services|Insurance—Diversified|22000|1984940032
US00774B2088|Technology|Communication Equipment|32|9637050
NO0003078107|Industrials|Engineering & Construction|5413|106779000
FR0014005AC9|Basic Materials|Specialty Chemicals|33|25762000
FR0011908045|Industrials|Engineering & Construction||
FR0013333077|Healthcare|Medical Devices|47|18103000
FR0014005WE9|Consumer Cyclical|Auto & Truck Dealerships||1000000
BE0974264930|Financial Services|Insurance—Diversified|10236|185660000
BE0003755692|Industrials|Specialty Industrial Machinery|7457|160507008
NO0010872468|Industrials|Waste Management|80|77532896
ES0105478004|Real Estate|REIT—Diversified|10|9802360
FR0013452281|Utilities|Utilities—Renewable|17|3504320
FR0010641449|Consumer Defensive|Farm Products|769|221586000
FR0000031122|Industrials|Airlines|74415|641425984
NL0011794037|Consumer Defensive|Grocery Stores|410000|1011569984
IE00BF0L3536|Financial Services|Banks—Regional|9003|2714400000
FR0000120073|Basic Materials|Specialty Chemicals|64500|473646016
FR0013285103|Industrials|Aerospace & Defense||1156480
NO0010895568|Industrials|Electrical Equipment & Parts|131|171532000
IT0005450819|Financial Services|Asset Management|4|5700000
NL0000235190|Industrials|Aerospace & Defense|125888|785846016
FR0014003V77|Consumer Cyclical|Furnishings, Fixtures & Appliances||
NL0000018034|Communication Services|Entertainment|409|18333300
NO0010234552|Industrials|Conglomerates|1605|74287296
NO0010215684|Energy|Oil & Gas Equipment & Services|1954|271609984
NO0010886625|Healthcare|Drug Manufacturers—Specialty & Generic|551|87586096
NO0010345853|Energy|Oil & Gas E&P|1745|359336992
NO0010890304|Industrials|Pollution & Treatment Controls|26|604241984
NO0010936081|Basic Materials|Specialty Chemicals||687755008
NO0010921232|Financial Services|Asset Management|988|609736000
NO0010890312|Utilities|Utilities—Renewable|18|678728000
NO0010716582|Energy|Oil & Gas Equipment & Services|14888|484998016
FR0004180537|Technology|Information Technology Services|19237|30567400
SE0015193412|Basic Materials|Gold|34|42512600
NO0003097503|Industrials|Farm & Heavy Construction Machinery|1437|36324800
NL0013267909|Basic Materials|Specialty Chemicals|32700|187500000
FR0000053027|Consumer Cyclical|Auto Parts|10457|26735000
FR0000062465|Industrials|Consulting Services||42789900
FR0000060402|Utilities|Utilities—Renewable|558|31586100
FR0014000JX7|Communication Services|Broadcasting|118|4402820
FR0013258662|Industrials|Rental & Leasing Services|6700|403084992
GB00BJ9M4V82|Financial Services|Capital Markets|3|10529500
NL0012817175|Industrials|Electrical Equipment & Parts|621|21694600
GB00BNTJ3546|Financial Services|Asset Management|819|629425984
NL0010696704|Technology|Information Technology Services|73|11750900
